"Country","Confirmed","Deaths","Recovered","Active","Date","Lat","Long"
"Afghanistan",2171,64,260,1847,2020-04-30,"33.93911","67.709953"
"Albania",773,31,470,272,2020-04-30,"41.153332","20.168331"
"Algeria",4006,450,1779,1777,2020-04-30,"28.033886","1.659626"
"Andorra",745,42,468,235,2020-04-30,"42.546245","1.601554"
"Angola",27,2,7,18,2020-04-30,"-11.202692","17.873887"
"Antigua and Barbuda",24,3,11,10,2020-04-30,"17.060816","-61.796428"
"Argentina",4428,218,1256,2954,2020-04-30,"-38.416097","-63.616672"
"Armenia",2066,32,929,1105,2020-04-30,"40.069099","45.038189"
"Australia",6766,93,5742,931,2020-04-30,"-25.274398","133.775136"
"Austria",15452,584,12907,1961,2020-04-30,"47.516231","14.550072"
"Azerbaijan",1804,24,1325,455,2020-04-30,"40.143105","47.576927"
"Bahamas",81,11,25,45,2020-04-30,"25.03428","-77.39628"
"Bahrain",3040,8,1500,1532,2020-04-30,"25.930414","50.637772"
"Bangladesh",7667,168,160,7339,2020-04-30,"23.684994","90.356331"
"Barbados",81,7,39,35,2020-04-30,"13.193887","-59.543198"
"Belarus",14027,89,2386,11552,2020-04-30,"53.709807","27.953389"
"Belgium",48519,7594,11576,29349,2020-04-30,"50.503887","4.469936"
"Belize",18,2,9,7,2020-04-30,"17.189877","-88.49765"
"Benin",64,1,33,30,2020-04-30,"9.30769","2.315834"
"Bhutan",7,0,5,2,2020-04-30,"27.514162","90.433601"
"Bolivia",1110,59,117,934,2020-04-30,"-16.290154","-63.588653"
"Bosnia and Herzegovina",1757,69,727,961,2020-04-30,"43.915886","17.679076"
"Botswana",23,1,5,17,2020-04-30,"-22.328474","24.684866"
"Brazil",87187,6006,35935,45246,2020-04-30,"-14.235004","-51.92528"
"Brunei",138,1,124,13,2020-04-30,"4.535277","114.727669"
"Bulgaria",1506,66,266,1174,2020-04-30,"42.733883","25.48583"
"Burkina Faso",645,43,506,96,2020-04-30,"12.238333","-1.561593"
"Burma",151,6,27,118,2020-04-30,"21.913965","95.956223"
"Burundi",11,1,4,6,2020-04-30,"-3.373056","29.918886"
"Cabo Verde",121,1,4,116,2020-04-30,"16.002082","-24.013197"
"Cambodia",122,0,119,3,2020-04-30,"12.565679","104.990963"
"Cameroon",1832,61,934,837,2020-04-30,"7.369722","12.354722"
"Canada",54457,3310,21424,29723,2020-04-30,"56.130366","-106.346771"
"Central African Republic",50,0,10,40,2020-04-30,"6.611111","20.939444"
"Chad",73,5,33,35,2020-04-30,"15.454166","18.732207"
"Chile",16023,227,8580,7216,2020-04-30,"-35.675147","-71.542969"
"China",83956,4637,78523,796,2020-04-30,"35.86166","104.195397"
"Colombia",6507,293,1439,4775,2020-04-30,"4.570868","-74.297333"
"Comoros",1,0,0,1,2020-04-30,"-22.95764","18.49041"
"Congo (Brazzaville)",220,9,19,192,2020-04-30,"-0.228021","15.827659"
"Congo (Kinshasa)",572,31,73,468,2020-04-30,"-4.038333","21.758664"
"Costa Rica",719,6,338,375,2020-04-30,"9.748917","-83.753428"
"Cote d'Ivoire",1275,14,574,687,2020-04-30,"7.539989","-5.54708"
"Croatia",2076,69,1348,659,2020-04-30,"45.1","15.2"
"Cuba",1501,61,681,759,2020-04-30,"21.521757","-77.781167"
"Cyprus",850,15,296,539,2020-04-30,"35.126413","33.429859"
"Czechia",7682,236,3314,4132,2020-04-30,"49.817492","15.472962"
"Denmark",9356,452,6741,2163,2020-04-30,"56.26392","9.501785"
"Diamond Princess",712,13,645,54,2020-04-30,"37.09024","-95.712891"
"Djibouti",1089,2,642,445,2020-04-30,"11.825138","42.590275"
"Dominica",16,0,13,3,2020-04-30,"15.414999","-61.370976"
"Dominican Republic",6972,301,1301,5370,2020-04-30,"18.735693","-70.162651"
"Ecuador",24934,900,1558,22476,2020-04-30,"-1.831239","-78.183406"
"Egypt",5537,392,1381,3764,2020-04-30,"26.820553","30.802498"
"El Salvador",395,10,119,266,2020-04-30,"13.794185","-88.89653"
"Equatorial Guinea",315,1,9,305,2020-04-30,"1.650801","10.267895"
"Eritrea",39,0,26,13,2020-04-30,"15.179384","39.782334"
"Estonia",1689,52,249,1388,2020-04-30,"58.595272","25.013607"
"Eswatini",100,1,12,87,2020-04-30,"-26.522503","31.465866"
"Ethiopia",131,3,59,69,2020-04-30,"9.145","40.489673"
"Fiji",18,0,12,6,2020-04-30,"-16.578193","179.414413"
"Finland",4995,211,3000,1784,2020-04-30,"61.92411","25.748151"
"France",167299,24410,50380,92509,2020-04-30,"46.227638","2.213749"
"Gabon",276,3,67,206,2020-04-30,"-0.803689","11.609444"
"Gambia",11,1,8,2,2020-04-30,"13.443182","-15.310139"
"Georgia",539,6,184,349,2020-04-30,"42.315407","43.356892"
"Germany",163009,6623,123500,32886,2020-04-30,"51.165691","10.451526"
"Ghana",2074,17,212,1845,2020-04-30,"7.946527","-1.023194"
"Greece",2591,140,1374,1077,2020-04-30,"39.074208","21.824312"
"Grenada",20,0,13,7,2020-04-30,"12.262776","-61.604171"
"Guatemala",599,16,66,517,2020-04-30,"15.783471","-90.230759"
"Guinea",1495,7,329,1159,2020-04-30,"9.945587","-9.696645"
"Guinea-Bissau",205,1,19,185,2020-04-30,"11.803749","-15.180413"
"Guyana",82,9,22,51,2020-04-30,"4.860416","-58.93018"
"Haiti",81,8,8,65,2020-04-30,"18.971187","-72.285215"
"Holy See",11,0,2,9,2020-04-30,"41.902916","12.453389"
"Honduras",771,71,79,621,2020-04-30,"15.199999","-86.241905"
"Hungary",2775,312,581,1882,2020-04-30,"47.162494","19.503304"
"Iceland",1797,10,1670,117,2020-04-30,"64.963051","-19.020835"
"India",34863,1154,9068,24641,2020-04-30,"20.593684","78.96288"
"Indonesia",10118,792,1522,7804,2020-04-30,"-0.789275","113.921327"
"Iran",94640,6028,75103,13509,2020-04-30,"32.427908","53.688046"
"Iraq",2085,93,1375,617,2020-04-30,"33.223191","43.679291"
"Ireland",20612,1232,13386,5994,2020-04-30,"53.41291","-8.24389"
"Israel",15946,222,8561,7163,2020-04-30,"31.046051","34.851612"
"Italy",205463,27967,75945,101551,2020-04-30,"41.87194","12.56738"
"Jamaica",422,8,29,385,2020-04-30,"18.109581","-77.297508"
"Japan",14088,430,2460,11198,2020-04-30,"36.204824","138.252924"
"Jordan",453,8,362,83,2020-04-30,"30.585164","36.238414"
"Kazakhstan",3402,25,866,2511,2020-04-30,"48.019573","66.923684"
"Kenya",396,17,144,235,2020-04-30,"-0.023559","37.906193"
"Korea, South",10774,248,9072,1454,2020-04-30,"35.907757","127.766922"
"Kosovo",799,22,249,528,2020-04-30,"42.602636","20.902977"
"Kuwait",4024,26,1539,2459,2020-04-30,"29.31166","47.481766"
"Kyrgyzstan",746,8,462,276,2020-04-30,"41.20438","74.766098"
"Laos",19,0,8,11,2020-04-30,"19.85627","102.495496"
"Latvia",858,15,348,495,2020-04-30,"56.879635","24.603189"
"Lebanon",725,24,150,551,2020-04-30,"33.854721","35.862285"
"Liberia",141,16,45,80,2020-04-30,"6.428055","-9.429499"
"Libya",61,3,18,40,2020-04-30,"26.3351","17.228331"
"Liechtenstein",82,1,55,26,2020-04-30,"47.166","9.555373"
"Lithuania",1385,45,589,751,2020-04-30,"55.169438","23.881275"
"Luxembourg",3784,90,3213,481,2020-04-30,"49.815273","6.129583"
"Madagascar",128,0,92,36,2020-04-30,"-18.766947","46.869107"
"Malawi",37,3,7,27,2020-04-30,"-13.254308","34.301525"
"Malaysia",6002,102,4171,1729,2020-04-30,"4.210484","101.975766"
"Maldives",468,1,17,450,2020-04-30,"3.202778","73.22068"
"Mali",490,26,135,329,2020-04-30,"17.570692","-3.996166"
"Malta",465,4,351,110,2020-04-30,"35.937496","14.375416"
"Mauritania",8,1,6,1,2020-04-30,"21.00789","-10.940835"
"Mauritius",332,10,310,12,2020-04-30,"-20.348404","57.552152"
"Mexico",19224,1859,11423,5942,2020-04-30,"23.634501","-102.552784"
"Moldova",3897,116,1182,2599,2020-04-30,"47.411631","28.369885"
"Monaco",95,4,64,27,2020-04-30,"43.750298","7.412841"
"Mongolia",38,0,10,28,2020-04-30,"46.862496","103.846656"
"Montenegro",322,7,214,101,2020-04-30,"42.708678","19.37439"
"Morocco",4423,170,984,3269,2020-04-30,"31.791702","-7.09262"
"Mozambique",76,0,12,64,2020-04-30,"-18.665695","35.529562"
"MS Zaandam",9,2,0,7,2020-04-30,"52.442039","4.829199"
"Namibia",16,0,8,8,2020-04-30,"-22.95764","18.49041"
"Nepal",57,0,16,41,2020-04-30,"28.394857","84.124008"
"Netherlands",39512,4811,125,34576,2020-04-30,"52.132633","5.291266"
"New Zealand",1479,19,1252,208,2020-04-30,"-40.900557","174.885971"
"Nicaragua",14,3,7,4,2020-04-30,"12.865416","-85.207229"
"Niger",719,32,452,235,2020-04-30,"17.607789","8.081666"
"Nigeria",1932,58,319,1555,2020-04-30,"9.081999","8.675277"
"North Macedonia",1465,77,738,650,2020-04-30,"41.608635","21.745275"
"Norway",7738,210,32,7496,2020-04-30,"60.472024","8.468946"
"Oman",2348,11,495,1842,2020-04-30,"21.512583","55.923255"
"Pakistan",16817,385,4315,12117,2020-04-30,"30.375321","69.345116"
"Panama",6532,188,576,5768,2020-04-30,"8.537981","-80.782127"
"Papua New Guinea",8,0,0,8,2020-04-30,"-6.314993","143.95555"
"Paraguay",266,10,113,143,2020-04-30,"-23.442503","-58.443832"
"Peru",36976,1051,10405,25520,2020-04-30,"-9.189967","-75.015152"
"Philippines",8488,568,1043,6877,2020-04-30,"12.879721","121.774017"
"Poland",12877,644,3236,8997,2020-04-30,"51.919438","19.145136"
"Portugal",25045,989,1519,22537,2020-04-30,"39.399872","-8.224454"
"Qatar",13409,10,1372,12027,2020-04-30,"25.354826","51.183884"
"Romania",12240,717,4017,7506,2020-04-30,"45.943161","24.96676"
"Russia",106498,1073,11619,93806,2020-04-30,"61.52401","105.318756"
"Rwanda",243,0,104,139,2020-04-30,"-1.940278","29.873888"
"Saint Kitts and Nevis",15,0,6,9,2020-04-30,"17.357822","-62.782998"
"Saint Lucia",17,0,15,2,2020-04-30,"13.909444","-60.978893"
"Saint Vincent and the Grenadines",16,0,8,8,2020-04-30,"12.984305","-61.287228"
"San Marino",569,41,78,450,2020-04-30,"43.94236","12.457777"
"Sao Tome and Principe",14,0,4,10,2020-04-30,"-22.95764","18.49041"
"Saudi Arabia",22753,162,3163,19428,2020-04-30,"23.885942","45.079162"
"Senegal",933,9,334,590,2020-04-30,"14.497401","-14.452362"
"Serbia",9009,179,1343,7487,2020-04-30,"44.016521","21.005859"
"Seychelles",11,0,6,5,2020-04-30,"-4.679574","55.491977"
"Sierra Leone",124,7,21,96,2020-04-30,"8.460555","-11.779889"
"Singapore",16169,15,1244,14910,2020-04-30,"1.352083","103.819836"
"Slovakia",1396,23,524,849,2020-04-30,"48.669026","19.699024"
"Slovenia",1429,91,233,1105,2020-04-30,"46.151241","14.995463"
"Somalia",601,28,31,542,2020-04-30,"5.152149","46.199616"
"South Africa",5647,103,2073,3471,2020-04-30,"-30.559482","22.937506"
"South Sudan",35,0,0,35,2020-04-30,"6.8770","31.3070"
"Spain",213435,24543,112050,76842,2020-04-30,"40.463667","-3.74922"
"Sri Lanka",663,7,154,502,2020-04-30,"7.873054","80.771797"
"Sudan",442,31,39,372,2020-04-30,"12.862807","30.217636"
"Suriname",10,1,8,1,2020-04-30,"3.919305","-56.027783"
"Sweden",21092,2586,1005,17501,2020-04-30,"60.128161","18.643501"
"Switzerland",29586,1737,23400,4449,2020-04-30,"46.818188","8.227512"
"Syria",43,3,21,19,2020-04-30,"34.802075","38.996815"
"Taiwan*",429,6,322,101,2020-04-30,"23.69781","120.960515"
"Tajikistan",15,0,0,15,2020-04-30,"-22.95764","18.49041"
"Tanzania",480,16,167,297,2020-04-30,"-6.369028","34.888822"
"Thailand",2954,54,2684,216,2020-04-30,"15.870032","100.992541"
"Timor-Leste",24,0,16,8,2020-04-30,"-8.874217","125.727539"
"Togo",116,9,65,42,2020-04-30,"8.619543","0.824782"
"Trinidad and Tobago",116,8,72,36,2020-04-30,"10.691803","-61.222503"
"Tunisia",994,41,305,648,2020-04-30,"33.886917","9.537499"
"Turkey",120204,3174,48886,68144,2020-04-30,"38.963745","35.243322"
"Uganda",83,0,52,31,2020-04-30,"1.373333","32.290275"
"Ukraine",10406,261,1238,8907,2020-04-30,"48.379433","31.16558"
"United Arab Emirates",12481,105,2429,9947,2020-04-30,"23.424076","53.847818"
"United Kingdom",172481,26842,859,144780,2020-04-30,"55.378051","-3.435973"
"Uruguay",643,17,417,209,2020-04-30,"-32.522779","-55.765835"
"US",1069424,62996,153947,852481,2020-04-30,"37.09024","-95.712891"
"Uzbekistan",2039,9,1133,897,2020-04-30,"41.377491","64.585262"
"Venezuela",333,16,142,175,2020-04-30,"6.42375","-66.58973"
"Vietnam",270,0,219,51,2020-04-30,"14.058324","108.277199"
"West Bank and Gaza",344,2,76,266,2020-04-30,"31.952162","35.233154"
"Western Sahara",6,0,5,1,2020-04-30,"24.215527","-12.885834"
"Yemen",6,2,1,3,2020-04-30,"-22.95764","18.49041"
"Zambia",106,3,55,48,2020-04-30,"-13.133897","27.849332"
"Zimbabwe",40,4,5,31,2020-04-30,"-19.015438","29.154857"
"Afghanistan",1939,60,252,1627,2020-04-29,"33.93911","67.709953"
"Albania",766,30,455,281,2020-04-29,"41.153332","20.168331"
"Algeria",3848,444,1702,1702,2020-04-29,"28.033886","1.659626"
"Andorra",743,42,423,278,2020-04-29,"42.546245","1.601554"
"Angola",27,2,7,18,2020-04-29,"-11.202692","17.873887"
"Antigua and Barbuda",24,3,11,10,2020-04-29,"17.060816","-61.796428"
"Argentina",4285,214,1192,2879,2020-04-29,"-38.416097","-63.616672"
"Armenia",1932,30,900,1002,2020-04-29,"40.069099","45.038189"
"Australia",6752,91,5715,946,2020-04-29,"-25.274398","133.775136"
"Austria",15402,580,12779,2043,2020-04-29,"47.516231","14.550072"
"Azerbaijan",1766,23,1267,476,2020-04-29,"40.143105","47.576927"
"Bahamas",80,11,23,46,2020-04-29,"25.03428","-77.39628"
"Bahrain",2921,8,1455,1458,2020-04-29,"25.930414","50.637772"
"Bangladesh",7103,163,150,6790,2020-04-29,"23.684994","90.356331"
"Barbados",80,7,39,34,2020-04-29,"13.193887","-59.543198"
"Belarus",13181,84,2072,11025,2020-04-29,"53.709807","27.953389"
"Belgium",47859,7501,11283,29075,2020-04-29,"50.503887","4.469936"
"Belize",18,2,9,7,2020-04-29,"17.189877","-88.49765"
"Benin",64,1,33,30,2020-04-29,"9.30769","2.315834"
"Bhutan",7,0,5,2,2020-04-29,"27.514162","90.433601"
"Bolivia",1110,59,117,934,2020-04-29,"-16.290154","-63.588653"
"Bosnia and Herzegovina",1677,65,710,902,2020-04-29,"43.915886","17.679076"
"Botswana",23,1,5,17,2020-04-29,"-22.328474","24.684866"
"Brazil",79685,5513,34132,40040,2020-04-29,"-14.235004","-51.92528"
"Brunei",138,1,124,13,2020-04-29,"4.535277","114.727669"
"Bulgaria",1447,64,243,1140,2020-04-29,"42.733883","25.48583"
"Burkina Faso",641,43,498,100,2020-04-29,"12.238333","-1.561593"
"Burma",150,6,27,117,2020-04-29,"21.913965","95.956223"
"Burundi",11,1,4,6,2020-04-29,"-3.373056","29.918886"
"Cabo Verde",114,1,2,111,2020-04-29,"16.002082","-24.013197"
"Cambodia",122,0,119,3,2020-04-29,"12.565679","104.990963"
"Cameroon",1832,61,934,837,2020-04-29,"7.369722","12.354722"
"Canada",52865,3155,20327,29383,2020-04-29,"56.130366","-106.346771"
"Central African Republic",50,0,10,40,2020-04-29,"6.611111","20.939444"
"Chad",52,2,19,31,2020-04-29,"15.454166","18.732207"
"Chile",14885,216,8057,6612,2020-04-29,"-35.675147","-71.542969"
"China",83944,4637,78474,833,2020-04-29,"35.86166","104.195397"
"Colombia",6207,278,1411,4518,2020-04-29,"4.570868","-74.297333"
"Congo (Brazzaville)",207,8,19,180,2020-04-29,"-0.228021","15.827659"
"Congo (Kinshasa)",491,30,59,402,2020-04-29,"-4.038333","21.758664"
"Costa Rica",713,6,323,384,2020-04-29,"9.748917","-83.753428"
"Cote d'Ivoire",1238,14,557,667,2020-04-29,"7.539989","-5.54708"
"Croatia",2062,67,1288,707,2020-04-29,"45.1","15.2"
"Cuba",1467,58,617,792,2020-04-29,"21.521757","-77.781167"
"Cyprus",843,15,148,680,2020-04-29,"35.126413","33.429859"
"Czechia",7579,227,3108,4244,2020-04-29,"49.817492","15.472962"
"Denmark",9206,443,6558,2205,2020-04-29,"56.26392","9.501785"
"Diamond Princess",712,13,645,54,2020-04-29,"37.09024","-95.712891"
"Djibouti",1077,2,599,476,2020-04-29,"11.825138","42.590275"
"Dominica",16,0,13,3,2020-04-29,"15.414999","-61.370976"
"Dominican Republic",6652,293,1228,5131,2020-04-29,"18.735693","-70.162651"
"Ecuador",24675,883,1557,22235,2020-04-29,"-1.831239","-78.183406"
"Egypt",5268,380,1335,3553,2020-04-29,"26.820553","30.802498"
"El Salvador",377,9,106,262,2020-04-29,"13.794185","-88.89653"
"Equatorial Guinea",315,1,9,305,2020-04-29,"1.650801","10.267895"
"Eritrea",39,0,19,20,2020-04-29,"15.179384","39.782334"
"Estonia",1666,50,236,1380,2020-04-29,"58.595272","25.013607"
"Eswatini",91,1,10,80,2020-04-29,"-26.522503","31.465866"
"Ethiopia",130,3,58,69,2020-04-29,"9.145","40.489673"
"Fiji",18,0,12,6,2020-04-29,"-16.578193","179.414413"
"Finland",4906,206,2800,1900,2020-04-29,"61.92411","25.748151"
"France",166543,24121,49118,93304,2020-04-29,"46.227638","2.213749"
"Gabon",276,3,67,206,2020-04-29,"-0.803689","11.609444"
"Gambia",10,1,8,1,2020-04-29,"13.443182","-15.310139"
"Georgia",517,6,178,333,2020-04-29,"42.315407","43.356892"
"Germany",161539,6467,120400,34672,2020-04-29,"51.165691","10.451526"
"Ghana",1671,16,188,1467,2020-04-29,"7.946527","-1.023194"
"Greece",2576,139,577,1860,2020-04-29,"39.074208","21.824312"
"Grenada",20,0,13,7,2020-04-29,"12.262776","-61.604171"
"Guatemala",557,16,62,479,2020-04-29,"15.783471","-90.230759"
"Guinea",1351,7,313,1031,2020-04-29,"9.945587","-9.696645"
"Guinea-Bissau",205,1,19,185,2020-04-29,"11.803749","-15.180413"
"Guyana",78,8,18,52,2020-04-29,"4.860416","-58.93018"
"Haiti",76,6,8,62,2020-04-29,"18.971187","-72.285215"
"Holy See",10,0,2,8,2020-04-29,"41.902916","12.453389"
"Honduras",738,66,73,599,2020-04-29,"15.199999","-86.241905"
"Hungary",2727,300,536,1891,2020-04-29,"47.162494","19.503304"
"Iceland",1797,10,1656,131,2020-04-29,"64.963051","-19.020835"
"India",33062,1079,8437,23546,2020-04-29,"20.593684","78.96288"
"Indonesia",9771,784,1391,7596,2020-04-29,"-0.789275","113.921327"
"Iran",93657,5957,73791,13909,2020-04-29,"32.427908","53.688046"
"Iraq",2003,92,1346,565,2020-04-29,"33.223191","43.679291"
"Ireland",20253,1190,13386,5677,2020-04-29,"53.41291","-8.24389"
"Israel",15834,215,8233,7386,2020-04-29,"31.046051","34.851612"
"Italy",203591,27682,71252,104657,2020-04-29,"41.87194","12.56738"
"Jamaica",396,7,29,360,2020-04-29,"18.109581","-77.297508"
"Japan",13895,413,2368,11114,2020-04-29,"36.204824","138.252924"
"Jordan",451,8,356,87,2020-04-29,"30.585164","36.238414"
"Kazakhstan",3138,25,819,2294,2020-04-29,"48.019573","66.923684"
"Kenya",384,15,129,240,2020-04-29,"-0.023559","37.906193"
"Korea, South",10765,247,9059,1459,2020-04-29,"35.907757","127.766922"
"Kosovo",510,12,93,405,2020-04-29,"42.602636","20.902977"
"Kuwait",3740,24,1389,2327,2020-04-29,"29.31166","47.481766"
"Kyrgyzstan",729,8,437,284,2020-04-29,"41.20438","74.766098"
"Laos",19,0,7,12,2020-04-29,"19.85627","102.495496"
"Latvia",849,15,348,486,2020-04-29,"56.879635","24.603189"
"Lebanon",721,24,150,547,2020-04-29,"33.854721","35.862285"
"Liberia",141,16,45,80,2020-04-29,"6.428055","-9.429499"
"Libya",61,2,18,41,2020-04-29,"26.3351","17.228331"
"Liechtenstein",82,1,55,26,2020-04-29,"47.166","9.555373"
"Lithuania",1375,45,563,767,2020-04-29,"55.169438","23.881275"
"Luxembourg",3769,89,3134,546,2020-04-29,"49.815273","6.129583"
"Madagascar",128,0,90,38,2020-04-29,"-18.766947","46.869107"
"Malawi",36,3,7,26,2020-04-29,"-13.254308","34.301525"
"Malaysia",5945,100,4087,1758,2020-04-29,"4.210484","101.975766"
"Maldives",278,1,17,260,2020-04-29,"3.202778","73.22068"
"Mali",482,25,129,328,2020-04-29,"17.570692","-3.996166"
"Malta",463,4,339,120,2020-04-29,"35.937496","14.375416"
"Mauritania",8,1,6,1,2020-04-29,"21.00789","-10.940835"
"Mauritius",332,10,306,16,2020-04-29,"-20.348404","57.552152"
"Mexico",17799,1732,11423,4644,2020-04-29,"23.634501","-102.552784"
"Moldova",3771,111,1114,2546,2020-04-29,"47.411631","28.369885"
"Monaco",95,4,58,33,2020-04-29,"43.750298","7.412841"
"Mongolia",38,0,10,28,2020-04-29,"46.862496","103.846656"
"Montenegro",322,7,203,112,2020-04-29,"42.708678","19.37439"
"Morocco",4321,168,928,3225,2020-04-29,"31.791702","-7.09262"
"Mozambique",76,0,12,64,2020-04-29,"-18.665695","35.529562"
"MS Zaandam",9,2,0,7,2020-04-29,"52.442039","4.829199"
"Namibia",16,0,8,8,2020-04-29,"-22.95764","18.49041"
"Nepal",57,0,16,41,2020-04-29,"28.394857","84.124008"
"Netherlands",38998,4727,119,34152,2020-04-29,"52.132633","5.291266"
"New Zealand",1476,19,1241,216,2020-04-29,"-40.900557","174.885971"
"Nicaragua",13,3,7,3,2020-04-29,"12.865416","-85.207229"
"Niger",713,32,435,246,2020-04-29,"17.607789","8.081666"
"Nigeria",1728,51,307,1370,2020-04-29,"9.081999","8.675277"
"North Macedonia",1442,73,627,742,2020-04-29,"41.608635","21.745275"
"Norway",7710,207,32,7471,2020-04-29,"60.472024","8.468946"
"Oman",2274,10,364,1900,2020-04-29,"21.512583","55.923255"
"Pakistan",15525,343,3425,11757,2020-04-29,"30.375321","69.345116"
"Panama",6378,178,527,5673,2020-04-29,"8.537981","-80.782127"
"Papua New Guinea",8,0,0,8,2020-04-29,"-6.314993","143.95555"
"Paraguay",239,9,102,128,2020-04-29,"-23.442503","-58.443832"
"Peru",33931,943,10037,22951,2020-04-29,"-9.189967","-75.015152"
"Philippines",8212,558,1023,6631,2020-04-29,"12.879721","121.774017"
"Poland",12640,624,3025,8991,2020-04-29,"51.919438","19.145136"
"Portugal",24505,973,1470,22062,2020-04-29,"39.399872","-8.224454"
"Qatar",12564,10,1243,11311,2020-04-29,"25.354826","51.183884"
"Romania",11978,693,3569,7716,2020-04-29,"45.943161","24.96676"
"Russia",99399,972,10286,88141,2020-04-29,"61.52401","105.318756"
"Rwanda",225,0,98,127,2020-04-29,"-1.940278","29.873888"
"Saint Kitts and Nevis",15,0,4,11,2020-04-29,"17.357822","-62.782998"
"Saint Lucia",17,0,15,2,2020-04-29,"13.909444","-60.978893"
"Saint Vincent and the Grenadines",16,0,8,8,2020-04-29,"12.984305","-61.287228"
"San Marino",563,41,69,453,2020-04-29,"43.94236","12.457777"
"Sao Tome and Principe",8,0,4,4,2020-04-29,"-22.95764","18.49041"
"Saudi Arabia",21402,157,2953,18292,2020-04-29,"23.885942","45.079162"
"Senegal",882,9,315,558,2020-04-29,"14.497401","-14.452362"
"Serbia",6630,125,870,5635,2020-04-29,"44.016521","21.005859"
"Seychelles",11,0,6,5,2020-04-29,"-4.679574","55.491977"
"Sierra Leone",104,4,12,88,2020-04-29,"8.460555","-11.779889"
"Singapore",15641,14,1188,14439,2020-04-29,"1.352083","103.819836"
"Slovakia",1391,22,484,885,2020-04-29,"48.669026","19.699024"
"Slovenia",1418,89,230,1099,2020-04-29,"46.151241","14.995463"
"Somalia",582,28,20,534,2020-04-29,"5.152149","46.199616"
"South Africa",5350,103,2073,3174,2020-04-29,"-30.559482","22.937506"
"South Sudan",34,0,0,34,2020-04-29,"6.8770","31.3070"
"Spain",236899,24275,132929,79695,2020-04-29,"40.463667","-3.74922"
"Sri Lanka",649,7,136,506,2020-04-29,"7.873054","80.771797"
"Sudan",375,28,32,315,2020-04-29,"12.862807","30.217636"
"Suriname",10,1,8,1,2020-04-29,"3.919305","-56.027783"
"Sweden",20302,2462,1005,16835,2020-04-29,"60.128161","18.643501"
"Switzerland",29407,1716,22600,5091,2020-04-29,"46.818188","8.227512"
"Syria",43,3,21,19,2020-04-29,"34.802075","38.996815"
"Taiwan*",429,6,311,112,2020-04-29,"23.69781","120.960515"
"Tanzania",480,16,167,297,2020-04-29,"-6.369028","34.888822"
"Thailand",2947,54,2665,228,2020-04-29,"15.870032","100.992541"
"Timor-Leste",24,0,6,18,2020-04-29,"-8.874217","125.727539"
"Togo",109,7,64,38,2020-04-29,"8.619543","0.824782"
"Trinidad and Tobago",116,8,71,37,2020-04-29,"10.691803","-61.222503"
"Tunisia",980,40,294,646,2020-04-29,"33.886917","9.537499"
"Turkey",117589,3081,44040,70468,2020-04-29,"38.963745","35.243322"
"Uganda",81,0,52,29,2020-04-29,"1.373333","32.290275"
"Ukraine",9866,250,1103,8513,2020-04-29,"48.379433","31.16558"
"United Arab Emirates",11929,98,2329,9502,2020-04-29,"23.424076","53.847818"
"United Kingdom",166441,26166,857,139418,2020-04-29,"55.378051","-3.435973"
"Uruguay",630,15,412,203,2020-04-29,"-32.522779","-55.765835"
"US",1039909,60967,120720,858222,2020-04-29,"37.09024","-95.712891"
"Uzbekistan",2002,9,1096,897,2020-04-29,"41.377491","64.585262"
"Venezuela",331,10,142,179,2020-04-29,"6.42375","-66.58973"
"Vietnam",270,0,222,48,2020-04-29,"14.058324","108.277199"
"West Bank and Gaza",344,2,71,271,2020-04-29,"31.952162","35.233154"
"Western Sahara",6,0,5,1,2020-04-29,"24.215527","-12.885834"
"Yemen",6,0,1,5,2020-04-29,"-22.95764","18.49041"
"Zambia",97,3,54,40,2020-04-29,"-13.133897","27.849332"
"Zimbabwe",32,4,5,23,2020-04-29,"-19.015438","29.154857"
"Afghanistan",1828,58,228,1542,2020-04-28,"33.93911","67.709953"
"Albania",750,30,431,289,2020-04-28,"41.153332","20.168331"
"Algeria",3649,437,1651,1561,2020-04-28,"28.033886","1.659626"
"Andorra",743,41,398,304,2020-04-28,"42.546245","1.601554"
"Angola",27,2,6,19,2020-04-28,"-11.202692","17.873887"
"Antigua and Barbuda",24,3,11,10,2020-04-28,"17.060816","-61.796428"
"Argentina",4127,207,1162,2758,2020-04-28,"-38.416097","-63.616672"
"Armenia",1867,30,866,971,2020-04-28,"40.069099","45.038189"
"Australia",6744,89,5665,990,2020-04-28,"-25.274398","133.775136"
"Austria",15357,569,12580,2208,2020-04-28,"47.516231","14.550072"
"Azerbaijan",1717,22,1221,474,2020-04-28,"40.143105","47.576927"
"Bahamas",80,11,23,46,2020-04-28,"25.03428","-77.39628"
"Bahrain",2811,8,1310,1493,2020-04-28,"25.930414","50.637772"
"Bangladesh",6462,155,139,6168,2020-04-28,"23.684994","90.356331"
"Barbados",80,6,39,35,2020-04-28,"13.193887","-59.543198"
"Belarus",12208,79,1993,10136,2020-04-28,"53.709807","27.953389"
"Belgium",47334,7331,10943,29060,2020-04-28,"50.503887","4.469936"
"Belize",18,2,9,7,2020-04-28,"17.189877","-88.49765"
"Benin",64,1,33,30,2020-04-28,"9.30769","2.315834"
"Bhutan",7,0,5,2,2020-04-28,"27.514162","90.433601"
